v	c	b
0	1	634773444.146494
0	2	-1.03956969431601
0	3	-634773443.106924
1	1	396626583.609153
1	2	1.96160112554207
1	3	-396626585.570754
2	1	702495961.50363
2	2	-1.10294295428321
2	3	-702495960.400687
3	1	508653512.599618
3	2	-1.0741006700097
3	3	-508653511.525517
4	1	256819073.022357
4	2	-1.05801515920851
4	3	-256819071.964342
5	1	510863436.422567
5	2	-1.01142406580038
5	3	-510863435.411143
6	1	337853345.805987
6	2	1.92776274843113
6	3	-337853347.733749
7	1	498506542.514777
7	2	-1.09359947023799
7	3	-498506541.421177
8	1	793949940.341976
8	2	-1.09119959035888
8	3	-793949939.250776
9	1	822659137.90477
9	2	-1.15384650173053
9	3	-822659136.750924
10	1	203253517.91942
10	2	-1.05606920650622
10	3	-203253516.863351
11	1	691630164.820587
11	2	1.82407733121858
11	3	-691630166.644665
12	1	325890111.884536
12	2	-1.02082718989644
12	3	-325890110.863709
13	1	542739764.245162
13	2	-0.134923949414213
13	3	-542739764.110238
14	1	851630016.035778
14	2	-0.114286112366244
14	3	-851630015.921492
15	1	400584844.371286
15	2	-0.0660607968457043
15	3	-400584844.305225
16	1	538018751.831639
16	2	-0.192825292109268
16	3	-538018751.638814
17	1	607321050.097525
17	2	-0.117068599600448
17	3	-607321049.980456
18	1	303922184.359663
18	2	-0.117886810563505
18	3	-303922184.241776
19	1	465900511.048661
19	2	-0.00655098026618361
19	3	-465900511.042111
20	1	255632236.797735
20	2	-0.0366181510034949
20	3	-255632236.761117
21	1	456836944.334961
21	2	-0.0489399475045502
21	3	-456836944.286021
22	1	114687806.089673
22	2	-0.0465014516375959
22	3	-114687806.043171
23	1	353075567.781105
23	2	-0.042680841172114
23	3	-353075567.738424
24	1	403434698.197559
24	2	-0.142832708999271
24	3	-403434698.054726
25	1	246929675.183369
25	2	-0.0368035617284477
25	3	-246929675.146565
26	1	338844515.657614
26	2	-0.0606151060297248
26	3	-338844515.596999
27	1	280570216.016063
27	2	0.00207609905909921
27	3	-280570216.01814
28	1	272172117.821396
28	2	-0.0546810085589013
28	3	-272172117.766715
29	1	394129882.784474
29	2	-0.0677733911835689
29	3	-394129882.716701
30	1	191079324.140779
30	2	-0.0514967915590579
30	3	-191079324.089282
31	1	396321449.148938
31	2	-0.0785513436421752
31	3	-396321449.070386
32	1	425783419.412542
32	2	-0.0847408545765189
32	3	-425783419.327801
33	1	145498603.147927
33	2	0.0116976678837091
33	3	-145498603.159625
34	1	242774951.158796
34	2	-0.0903672673739493
34	3	-242774951.068429
35	1	298215834.87552
35	2	-0.0176530561112899
35	3	-298215834.857867
36	1	239468841.353331
36	2	-0.0544189875945449
36	3	-239468841.298912
37	1	170836951.927412
37	2	-0.0484769290778786
37	3	-170836951.878935
38	1	192685394.720013
38	2	-0.0699956896714866
38	3	-192685394.650017
39	1	143429797.428836
39	2	-0.00840921327471733
39	3	-143429797.420427
40	1	252907004.064149
40	2	-0.028721301452702
40	3	-252907004.035428
41	1	98994031.2074083
41	2	-0.0299390377476811
41	3	-98994031.1774693
42	1	200167101.23226
42	2	-0.0711706118746457
42	3	-200167101.161089
43	1	133374446.451774
43	2	-0.0476586166559009
43	3	-133374446.404116
44	1	46163915.4589563
44	2	-0.0231923125684261
44	3	-46163915.435764
